"year","hname","aname","hgoals","agoals","hPossesion","aPossesion","hshotsOnTarget","ashotsOnTarget","hshots","ashots","hyellowCards","ayellowCards","hredCards","aredCards","hfouls","afouls","hsaves","asaves"
"2012","Ukraine","Montenegro","0","1","45","55","5","4","10","7","3","6","0","0","10","12","5","6"
"2012","Hungary","Turkey","3","1","50","50","0","4","7","7","3","4","0","0","13","16","6","1"
"2012","Iceland","Switzerland","0","2","50","50","6","3","14","15","5","1","0","0","12","9","5","8"
"2012","North Macedonia","Serbia","1","0","55","45","2","2","4","8","4","2","0","1","16","14","1","6"
"2012","San Marino","Moldova","0","2","50","50","2","4","2","11","4","1","0","0","10","9","6","2"
"2012","Slovakia","Greece","0","1","50","50","4","1","17","8","3","2","0","0","16","8","3","6"
"2012","Austria","Kazakhstan","4","0","65","35","9","0","14","1","2","2","0","0","5","6","0","9"
"2012","Albania","Slovenia","1","0","50","50","3","7","7","8","3","4","0","0","12","11","9","4"
"2012","Belgium","Scotland","2","0","62","38","5","2","16","4","1","1","0","0","14","9","4","4"
"2012","Germany","Sweden","4","4","47","53","5","1","10","2","3","1","0","0","3","7","3","6"
"2012","Italy","Denmark","3","1","51","49","5","3","7","12","2","3","1","0","5","21","6","2"
"2012","Spain","France","1","1","50","50","4","2","8","6","1","2","0","0","4","10","4","5"
"2012","Portugal","Northern Ireland","1","1","68","32","10","3","20","5","1","1","0","0","10","10","5","15"
"2012","Poland","England","1","1","46","54","6","2","12","8","2","1","0","0","9","6","3","4"
"2012","Montenegro","San Marino","3","0","60","40","1","0","12","2","1","3","0","0","6","9","0","5"
"2012","Northern Ireland","Azerbaijan","1","1","57","43","8","3","21","7","5","4","0","0","8","13","3","8"
"2013","Israel","Portugal","3","3","45","55","0","1","2","9","3","3","0","0","6","3","2","0"
"2013","Bulgaria","Malta","6","0","74","26","9","0","18","0","1","0","0","0","8","3","0","3"
"2013","Croatia","Serbia","2","0","46","54","5","4","9","10","0","3","0","0","21","28","4","3"
"2013","Slovenia","Iceland","1","2","51","49","5","3","19","8","1","3","0","0","13","14","1","4"
"2013","Kazakhstan","Germany","0","3","24","76","2","6","7","23","3","2","0","0","9","6","3","2"
"2013","Norway","Albania","0","1","54","46","2","2","14","9","1","3","0","1","13","9","1","2"
"2013","Andorra","Turkey","0","2","28","72","2","6","7","14","2","1","0","0","17","13","4","2"
"2013","Liechtenstein","Latvia","1","1","54","46","7","4","16","16","4","2","0","0","16","22","3","6"
"2013","Slovakia","Lithuania","1","1","61","39","4","3","23","9","2","4","0","0","27","15","2","3"
"2013","Luxembourg","Azerbaijan","0","0","43","57","4","5","9","10","2","1","0","0","17","8","5","4"
"2013","Austria","Faroe Islands","6","0","70","30","15","2","27","3","1","3","0","0","8","12","2","9"
"2013","Czech Republic","Denmark","0","3","51","49","3","7","10","16","3","2","0","0","13","19","4","3"
"2013","Hungary","Romania","2","2","44","56","3","7","15","14","1","3","0","0","14","25","5","1"
"2013","Moldova","Montenegro","0","1","40","60","4","5","9","9","1","1","1","1","23","8","4","4"
"2013","Netherlands","Estonia","3","0","79","21","5","2","12","5","1","0","0","0","3","11","2","2"
"2013","Bosnia and Herzegovina","Greece","3","1","54","46","8","1","10","7","1","2","0","0","18","24","0","5"
"2013","North Macedonia","Belgium","0","2","38","62","6","7","17","15","4","1","0","0","12","15","5","6"
"2013","Poland","Ukraine","1","3","58","42","7","8","18","14","1","5","0","0","16","30","5","6"
"2013","Spain","Finland","1","1","81","19","4","1","29","5","1","2","0","0","7","10","0","3"
"2013","Sweden","Republic of Ireland","0","0","59","41","3","0","9","4","0","3","0","0","13","13","0","3"
"2013","France","Georgia","3","1","61","39","8","3","16","9","0","1","0","0","9","6","2","5"
"2013","San Marino","England","0","8","17","83","0","12","2","27","2","0","0","0","11","8","5","0"
"2013","Scotland","Wales","1","2","34","66","1","5","10","11","2","2","1","1","15","16","3","0"
"2013","Cyprus","Switzerland","0","0","38","62","3","3","7","17","2","3","0","0","12","14","3","3"
"2013","Armenia","Czech Republic","0","3","43","57","5","7","13","13","2","0","0","0","11","11","4","5"
"2013","Azerbaijan","Portugal","0","2","30","70","0","6","0","20","4","1","1","0","14","6","7","0"
"2013","Estonia","Andorra","2","0","76","24","2","0","12","6","0","1","0","0","16","9","0","0"
"2013","Turkey","Hungary","1","1","66","34","6","4","18","8","2","4","0","0","11","24","5","9"
"2013","Ukraine","Moldova","2","1","60","40","8","1","21","4","1","1","1","0","12","18","0","6"
"2013","Denmark","Bulgaria","1","1","70","30","6","4","17","11","1","2","0","0","10","10","3","5"
"2013","Netherlands","Romania","4","0","85","15","1","2","3","3","2","1","0","0","12","8","3","2"
"2013","Serbia","Scotland","2","0","53","47","7","1","21","5","3","3","0","0","13","15","1","5"
"2013","Belgium","North Macedonia","1","0","64","36","4","1","25","7","1","1","0","0","10","5","1","3"
"2013","Germany","Kazakhstan","4","1","80","20","12","1","28","4","0","0","0","0","6","9","0","8"
"2013","Malta","Italy","0","2","21","79","2","4","8","15","0","1","0","0","18","9","2","2"
"2013","Northern Ireland","Israel","0","2","60","40","2","4","11","6","2","0","0","0","13","11","2","2"
"2013","Poland","San Marino","5","0","77","23","12","1","30","3","3","4","0","0","10","21","1","7"
"2013","Republic of Ireland","Austria","2","2","37","63","4","3","12","11","3","1","0","0","24","19","1","2"
"2013","Wales","Croatia","1","2","39","61","3","6","9","19","1","4","0","0","8","14","4","2"
"2013","France","Spain","0","1","25","75","2","3","14","10","2","3","1","0","22","8","2","2"
"2013","Montenegro","England","1","1","45","55","5","5","19","14","4","2","0","0","16","11","4","4"
"2013","Armenia","Malta","0","1","74","26","4","2","18","3","0","4","0","0","11","18","1","4"
"2013","Azerbaijan","Luxembourg","1","1","68","32","3","3","13","14","2","4","1","0","20","24","2","2"
"2013","Finland","Belarus","1","0","50","50","3","3","17","21","2","0","0","1","15","13","3","2"
"2013","Latvia","Bosnia and Herzegovina","0","5","27","73","0","12","1","35","2","0","1","0","12","7","7","0"
"2013","Lithuania","Greece","0","1","54","46","2","3","5","4","1","3","0","0","14","13","2","2"
"2013","Liechtenstein","Slovakia","1","1","37","63","5","5","9","18","2","1","0","0","10","5","4","4"
"2013","Croatia","Scotland","0","1","65","35","2","1","19","5","1","3","0","0","16","7","0","2"
"2013","Moldova","Poland","1","1","38","62","2","5","8","21","2","0","0","0","13","15","4","1"
"2013","Montenegro","Ukraine","0","4","48","52","4","8","11","18","2","2","2","1","16","17","4","4"
"2013","Austria","Sweden","2","1","52","48","5","4","19","10","2","2","0","0","13","10","3","3"
"2013","Belgium","Serbia","2","1","44","56","5","7","10","14","0","2","0","0","19","13","6","3"
"2013","Czech Republic","Italy","0","0","45","55","6","0","18","5","1","1","0","1","15","8","0","6"
"2013","Republic of Ireland","Faroe Islands","3","0","64","36","9","0","16","2","1","3","0","0","7","10","0","6"
"2013","Iceland","Slovenia","2","4","43","57","5","8","13","12","2","3","0","0","8","16","4","3"
"2013","Portugal","Russia","1","0","46","54","4","3","16","7","1","0","0","0","11","13","3","3"
"2013","Switzerland","Cyprus","1","0","71","29","10","2","23","3","2","4","0","0","18","19","2","9"
"2013","Belarus","Finland","1","1","68","32","1","5","19","9","2","4","0","0","10","12","4","0"
"2013","Sweden","Faroe Islands","2","0","67","33","7","2","24","3","0","3","1","0","12","10","2","5"
"2013","Denmark","Armenia","0","4","64","36","5","9","21","13","1","2","0","0","11","16","5","5"
"2013","Northern Ireland","Russia","1","0","38","62","4","0","12","11","2","1","0","0","9","7","0","3"
"2013","Kazakhstan","Faroe Islands","2","1","58","42","7","2","12","10","0","2","0","0","11","11","1","5"
"2013","Russia","Luxembourg","4","1","62","38","7","3","16","13","0","1","0","0","13","11","2","3"
"2013","Czech Republic","Armenia","1","2","61","39","4","4","21","10","3","4","0","0","15","18","2","3"
"2013","North Macedonia","Wales","2","1","43","57","4","1","10","8","5","4","0","0","13","10","0","2"
"2013","Norway","Cyprus","2","0","55","45","6","1","16","2","0","1","0","0","11","9","1","4"
"2013","Malta","Denmark","1","2","29","71","3","4","9","8","4","0","0","0","7","14","3","2"
"2013","Romania","Hungary","3","0","46","54","6","2","17","10","1","3","0","0","18","14","2","3"
"2013","Turkey","Andorra","5","0","80","20","11","0","25","3","0","3","0","0","6","16","0","6"
"2013","Ukraine","San Marino","9","0","84","16","20","0","35","4","2","4","0","0","8","19","0","11"
"2013","Latvia","Lithuania","2","1","53","47","5","2","11","10","3","3","0","0","14","12","1","3"
"2013","Bosnia and Herzegovina","Slovakia","0","1","61","39","1","3","18","14","0","1","0","0","8","12","2","1"
"2013","Georgia","France","0","0","29","71","2","5","6","22","2","0","0","0","10","16","5","2"
"2013","Estonia","Netherlands","2","2","27","73","4","9","6","18","4","3","1","0","10","12","7","2"
"2013","Finland","Spain","0","2","32","68","1","4","7","14","0","1","0","0","4","5","2","1"
"2013","Slovenia","Albania","1","0","49","51","2","6","8","18","2","1","0","0","9","8","6","1"
"2013","Switzerland","Iceland","4","4","58","42","7","6","25","13","2","2","0","0","10","12","2","3"
"2013","Germany","Austria","3","0","65","35","10","3","17","10","3","4","0","0","8","19","3","7"
"2013","Italy","Bulgaria","1","0","53","47","6","3","12","15","1","0","0","0","3","16","3","5"
"2013","Liechtenstein","Greece","0","1","50","50","1","8","3","19","5","2","1","1","20","11","7","1"
"2013","Northern Ireland","Portugal","2","4","40","60","3","10","5","19","3","3","2","1","13","8","6","1"
"2013","Poland","Montenegro","1","1","65","35","5","3","15","8","2","4","0","0","14","16","2","4"
"2013","Republic of Ireland","Sweden","1","2","57","43","3","3","14","11","2","1","0","0","17","7","1","2"
"2013","Serbia","Croatia","1","1","55","45","4","1","14","2","3","3","1","1","22","18","0","3"
"2013","England","Moldova","4","0","68","32","10","0","25","5","1","0","0","0","12","11","0","6"
"2013","Scotland","Belgium","0","2","42","58","0","7","6","12","1","2","0","0","6","13","5","0"
"2013","Israel","Azerbaijan","1","1","66","34","5","1","16","11","1","3","0","0","14","14","0","4"
"2013","Russia","Israel","3","1","69","31","4","2","17","6","2","2","0","0","15","11","1","1"
"2013","Lithuania","Liechtenstein","2","0","69","31","5","2","12","5","3","4","0","0","16","13","2","3"
"2013","Armenia","Denmark","0","1","38","62","2","5","11","13","1","3","1","0","9","19","4","2"
"2013","Kazakhstan","Sweden","0","1","42","58","2","8","6","20","2","1","0","0","11","7","7","2"
"2013","Georgia","Finland","0","1","45","55","3","2","14","10","3","4","1","0","7","18","1","3"
"2013","Norway","Switzerland","0","2","42","58","2","5","7","14","1","0","0","0","14","9","3","2"
"2013","Malta","Bulgaria","1","2","32","68","2","4","10","15","2","3","0","0","12","21","2","1"
"2013","Romania","Turkey","0","2","55","45","3","6","18","10","1","3","0","0","19","12","4","3"
"2013","Luxembourg","Northern Ireland","3","2","42","58","7","3","20","15","1","1","0","0","11","11","1","4"
"2013","Slovakia","Bosnia and Herzegovina","1","2","42","58","3","4","13","19","1","3","0","0","15","16","2","2"
"2013","Andorra","Netherlands","0","2","19","81","2","8","7","23","4","1","0","0","20","15","6","2"
"2013","Cyprus","Slovenia","0","2","58","42","2","6","5","15","2","3","0","0","24","24","4","2"
"2013","Hungary","Estonia","5","1","53","47","7","2","17","11","2","5","0","0","13","14","1","3"
"2013","North Macedonia","Scotland","1","2","52","48","4","4","9","13","2","3","0","0","15","6","2","3"
"2013","Austria","Republic of Ireland","1","0","55","45","7","0","21","9","0","3","0","0","11","12","0","6"
"2013","Faroe Islands","Germany","0","3","24","76","3","11","6","31","1","0","1","0","11","8","8","3"
"2013","Greece","Latvia","1","0","58","42","7","2","19","7","0","1","1","1","16","13","2","6"
"2013","Italy","Czech Republic","2","1","69","31","7","3","20","7","1","1","0","1","10","21","2","5"
"2013","San Marino","Poland","1","5","21","79","2","10","4","19","4","2","0","0","14","20","5","1"
"2013","Ukraine","England","0","0","53","47","1","2","7","8","1","1","0","0","16","14","2","1"
"2013","Wales","Serbia","0","3","50","50","3","7","8","14","1","1","0","0","8","10","4","3"
"2013","Belarus","France","2","4","36","64","2","7","4","17","3","1","0","0","12","5","3","0"
"2013","Iceland","Albania","2","1","52","48","8","2","11","9","1","4","0","0","13","17","1","6"
"2013","Armenia","Bulgaria","2","1","56","44","6","4","20","7","2","1","0","2","16","14","3","4"
"2013","Lithuania","Latvia","2","0","51","49","10","2","16","9","3","0","0","0","12","6","2","8"
"2013","Azerbaijan","Northern Ireland","2","0","46","54","4","8","10","22","1","1","0","1","7","12","8","2"
"2013","Croatia","Belgium","1","2","58","42","6","5","14","8","4","1","0","0","10","17","3","5"
"2013","Moldova","San Marino","3","0","72","28","8","3","25","6","2","4","0","0","16","12","3","5"
"2013","Faroe Islands","Kazakhstan","1","1","45","55","5","2","9","12","0","1","0","0","9","14","1","4"
"2013","Malta","Czech Republic","1","4","26","74","2","7","4","13","1","1","0","0","11","10","3","1"
"2013","Bosnia and Herzegovina","Liechtenstein","4","1","62","38","13","1","30","2","0","0","0","0","13","3","0","9"
"2013","Ukraine","Poland","1","0","55","45","3","4","8","13","4","2","0","0","13","20","4","2"
"2013","Denmark","Italy","2","2","56","44","4","4","13","12","4","0","0","0","15","7","2","2"
"2013","Albania","Switzerland","1","2","48","52","5","4","16","10","2","3","0","0","14","19","2","4"
"2013","Andorra","Romania","0","4","22","78","0","8","5","17","5","1","0","0","14","6","4","0"
"2013","Estonia","Turkey","0","2","35","65","4","5","8","12","0","1","0","0","12","11","3","4"
"2013","Luxembourg","Russia","0","4","40","60","1","4","4","14","1","0","0","0","7","10","0","1"
"2013","Netherlands","Hungary","8","1","74","26","10","4","23","13","1","3","0","0","13","11","3","2"
"2013","Germany","Republic of Ireland","3","0","75","25","11","5","28","12","1","1","0","0","6","12","5","8"
"2013","Greece","Slovakia","1","0","44","56","4","0","14","4","2","5","0","0","25","21","0","4"
"2013","Iceland","Cyprus","2","0","54","46","10","0","21","2","0","3","0","0","9","17","0","8"
"2013","Slovenia","Norway","3","0","48","52","5","1","10","14","0","1","0","0","12","13","1","2"
"2013","Sweden","Austria","2","1","48","52","9","4","19","12","1","1","0","1","15","15","3","7"
"2013","Wales","North Macedonia","1","0","50","50","5","4","10","14","3","1","0","0","11","11","4","4"
"2013","England","Montenegro","4","1","61","39","12","2","27","10","1","2","0","0","8","12","1","9"
"2013","Portugal","Israel","1","1","63","37","7","2","19","4","2","1","0","0","14","8","1","6"
"2013","Spain","Belarus","2","1","76","24","3","2","12","4","1","5","0","0","6","19","1","1"
"2013","Cyprus","Albania","0","0","44","56","1","4","4","18","1","4","0","0","7","14","4","1"
"2013","Azerbaijan","Russia","1","1","37","63","2","8","8","20","0","2","1","0","13","13","7","1"
"2013","Greece","Liechtenstein","2","0","65","35","5","1","18","5","2","3","0","0","10","14","1","3"
"2013","Israel","Northern Ireland","1","1","54","46","4","2","8","7","1","1","0","0","9","10","1","3"
"2013","Lithuania","Bosnia and Herzegovina","0","1","32","68","2","7","9","19","5","1","0","0","21","13","6","2"
"2013","Portugal","Luxembourg","3","0","70","30","10","2","21","7","2","3","0","1","14","18","2","7"
"2013","Hungary","Andorra","2","0","77","23","8","1","20","5","3","4","0","1","16","13","1","7"
"2013","Norway","Iceland","1","1","61","39","4","3","13","12","0","1","0","0","13","4","2","3"
"2013","Romania","Estonia","2","0","59","41","5","2","12","6","2","2","0","0","12","11","2","3"
"2013","Switzerland","Slovenia","1","0","66","34","6","6","14","15","1","5","0","0","15","18","6","5"
"2013","Turkey","Netherlands","0","2","51","49","3","7","17","14","1","3","0","0","9","15","5","3"
"2013","Latvia","Slovakia","2","2","48","52","5","2","10","10","3","1","0","0","19","15","0","3"
"2013","Bulgaria","Czech Republic","0","1","53","47","4","2","11","5","3","2","1","0","17","16","1","4"
"2013","Denmark","Malta","6","0","72","28","15","3","27","4","1","2","0","0","10","16","3","9"
"2013","Serbia","North Macedonia","5","1","66","34","8","1","17","4","0","4","0","0","14","23","0","4"
"2013","Faroe Islands","Austria","0","3","33","67","3","5","16","16","3","2","0","0","14","14","2","3"
"2013","Italy","Armenia","2","2","62","38","10","4","24","14","1","2","0","0","13","13","2","8"
"2013","Republic of Ireland","Kazakhstan","3","1","63","37","6","2","16","9","0","1","0","0","11","12","1","4"
"2013","Sweden","Germany","3","5","26","74","5","6","7","17","1","4","0","0","10","12","1","2"
"2013","Belgium","Wales","1","1","55","45","8","3","29","7","0","1","0","0","11","6","2","7"
"2013","England","Poland","2","0","61","39","9","2","23","9","2","1","0","0","7","7","2","7"
"2013","France","Finland","3","0","62","38","9","2","22","6","2","1","0","0","12","8","2","7"
"2013","Montenegro","Moldova","2","5","58","42","5","7","14","17","4","3","0","0","20","21","2","3"
"2013","San Marino","Ukraine","0","8","22","78","1","12","3","25","4","1","2","0","20","12","4","1"
"2013","Scotland","Croatia","2","0","42","58","4","3","10","16","1","1","0","0","18","12","3","2"
"2013","Spain","Georgia","2","0","75","25","10","4","26","5","0","1","0","0","11","10","4","8"
"2013","Iceland","Croatia","0","0","31","69","0","6","4","14","0","0","1","0","18","16","6","0"
"2013","Greece","Romania","3","1","45","55","5","1","10","7","2","4","0","1","9","20","0","2"
"2013","Portugal","Sweden","1","0","68","32","3","2","19","6","2","2","0","0","12","13","2","2"
"2013","Ukraine","France","2","0","41","59","4","6","11","14","2","2","1","1","23","19","6","2"
"2013","Romania","Greece","1","1","67","33","3","3","11","4","0","3","0","0","13","13","2","3"
"2013","Croatia","Iceland","2","0","50","50","8","1","19","7","2","2","1","0","16","21","1","6"
"2013","Sweden","Portugal","2","3","62","38","5","5","9","17","4","1","0","0","13","14","2","3"
"2013","France","Ukraine","3","0","68","32","9","2","24","9","3","2","0","1","23","21","2","6"
"2016","Denmark","Armenia","1","0","79","21","9","1","20","1","0","2","0","0","7","15","1","8"
"2016","Kazakhstan","Poland","2","2","39","61","3","5","6","16","6","4","0","0","26","5","3","1"
"2016","Lithuania","Slovenia","2","2","27","73","5","13","13","27","1","1","0","0","13","8","11","3"
"2016","San Marino","Azerbaijan","0","1","17","83","0","6","2","19","2","0","1","0","19","7","5","0"
"2016","Slovakia","England","0","1","36","64","0","5","1","20","1","1","1","0","13","12","4","0"
"2016","Czech Republic","Northern Ireland","0","0","65","35","1","3","17","7","1","2","0","0","9","10","3","1"
"2016","Malta","Scotland","1","5","31","69","1","7","6","19","2","0","2","0","13","8","2","0"
"2016","Norway","Germany","0","3","26","74","0","8","4","21","2","1","0","0","14","5","5","0"
"2016","Romania","Montenegro","1","1","55","45","3","2","15","10","2","2","0","0","19","14","1","2"
"2016","Georgia","Austria","1","2","48","52","4","5","18","11","0","2","0","0","13","18","3","3"
"2016","Croatia","Turkey","1","1","58","42","4","3","17","6","0","2","0","0","19","13","2","3"
"2016","Finland","Kosovo","1","1","44","56","3","4","11","15","2","2","0","0","19","7","3","2"
"2016","Israel","Italy","1","3","58","42","5","5","14","10","0","0","0","1","15","12","2","4"
"2016","Serbia","Republic of Ireland","2","2","70","30","7","5","16","8","2","4","0","0","15","14","3","5"
"2016","Spain","Liechtenstein","8","0","73","27","14","0","28","1","0","4","0","0","8","10","0","6"
"2016","Ukraine","Iceland","1","1","67","33","5","4","13","12","1","2","0","0","16","12","3","4"
"2016","Wales","Moldova","4","0","57","43","7","0","13","3","0","1","0","0","6","16","0","3"
"2016","Albania","North Macedonia","2","1","63","37","2","3","10","5","0","2","0","0","23","21","2","0"
"2016","Andorra","Latvia","0","1","35","65","4","4","8","7","5","3","0","0","21","27","3","4"
"2016","Belarus","France","0","0","31","69","0","9","3","24","2","0","0","0","17","9","9","0"
"2016","Bosnia and Herzegovina","Estonia","5","0","62","38","12","2","19","8","1","2","0","0","7","11","2","7"
"2016","Bulgaria","Luxembourg","4","3","62","38","5","4","14","14","4","4","0","0","16","17","1","1"
"2016","Cyprus","Belgium","0","3","40","60","1","10","10","24","4","1","0","0","12","15","7","1"
"2016","Faroe Islands","Hungary","0","0","38","62","2","3","13","13","1","3","0","0","10","14","3","2"
"2016","Gibraltar","Greece","1","4","32","68","2","9","8","25","1","1","0","0","14","6","6","1"
"2016","Sweden","Netherlands","1","1","30","70","3","9","8","24","2","2","0","0","9","10","8","2"
"2016","Switzerland","Portugal","2","0","47","53","5","2","8","27","2","1","1","0","15","10","2","3"
"2016","Austria","Wales","2","2","62","38","6","3","15","7","2","1","0","0","12","15","2","4"
"2016","Iceland","Finland","3","2","61","39","10","3","20","5","2","5","0","0","10","19","1","7"
"2016","Italy","Spain","1","1","36","64","1","3","7","13","3","5","0","0","17","15","2","0"
"2016","Kosovo","Croatia","0","6","38","62","5","8","11","17","1","0","0","0","10","9","2","5"
"2016","Liechtenstein","Albania","0","2","33","67","0","6","5","19","3","1","0","0","21","17","5","0"
"2016","Moldova","Serbia","0","3","47","53","1","6","9","13","2","3","0","0","20","14","3","1"
"2016","North Macedonia","Israel","1","2","54","46","7","3","16","6","0","4","0","1","6","20","1","6"
"2016","Republic of Ireland","Georgia","1","0","43","57","3","2","10","11","1","1","0","0","11","11","2","2"
"2016","Turkey","Ukraine","2","2","40","60","6","7","14","15","3","4","0","0","12","14","5","4"
"2016","Belgium","Bosnia and Herzegovina","4","0","50","50","6","2","10","14","1","3","0","0","4","8","2","3"
"2016","Estonia","Gibraltar","4","0","56","44","9","1","22","4","0","0","0","0","6","9","1","5"
"2016","France","Bulgaria","4","1","67","33","5","1","12","4","0","0","0","0","11","7","0","1"
"2016","Greece","Cyprus","2","0","48","52","4","1","10","10","0","4","0","0","20","16","1","2"
"2016","Hungary","Switzerland","2","3","47","53","3","6","14","10","0","2","0","0","9","11","3","1"
"2016","Latvia","Faroe Islands","0","2","53","47","3","5","14","11","2","1","0","0","4","16","3","3"
"2016","Luxembourg","Sweden","0","1","35","65","1","10","6","28","3","4","1","0","17","14","9","1"
"2016","Netherlands","Belarus","4","1","68","32","7","1","27","7","0","1","0","0","9","11","0","3"
"2016","Portugal","Andorra","6","0","83","17","15","1","40","3","1","2","0","2","15","19","1","9"
"2016","Armenia","Romania","0","5","29","71","3","10","10","21","1","0","1","0","8","8","5","3"
"2016","Azerbaijan","Norway","1","0","29","71","1","5","8","15","1","4","0","0","5","18","5","0"
"2016","England","Malta","2","0","80","20","10","1","20","1","0","1","0","0","7","9","1","8"
"2016","Montenegro","Kazakhstan","5","0","46","54","7","0","12","9","1","3","0","0","15","13","0","2"
"2016","Germany","Czech Republic","3","0","66","34","9","1","18","9","0","2","0","0","9","13","1","6"
"2016","Northern Ireland","San Marino","4","0","74","26","15","0","35","3","0","3","0","1","21","8","0","11"
"2016","Poland","Denmark","3","2","38","62","6","2","12","10","1","2","0","0","14","11","1","3"
"2016","Scotland","Lithuania","1","1","61","39","3","3","19","7","2","3","0","0","21","19","2","2"
"2016","Slovenia","Slovakia","1","0","49","51","2","1","7","6","3","5","0","0","15","14","1","1"
"2016","Finland","Croatia","0","1","36","64","0","5","3","10","2","1","0","0","19","10","4","0"
"2016","Israel","Liechtenstein","2","1","69","31","5","4","21","5","0","2","0","0","10","20","3","3"
"2016","Ukraine","Kosovo","3","0","64","36","8","1","15","9","0","2","0","0","8","8","1","5"
"2016","Wales","Georgia","1","1","51","49","5","4","13","17","0","4","0","0","7","13","3","4"
"2016","Albania","Spain","0","2","23","77","0","6","1","13","2","1","0","0","16","8","4","0"
"2016","Iceland","Turkey","2","0","45","55","6","2","19","11","2","2","0","0","21","13","2","5"
"2016","Moldova","Republic of Ireland","1","3","51","49","2","7","7","16","4","2","0","0","21","14","4","1"
"2016","North Macedonia","Italy","2","3","34","66","6","9","13","19","4","1","0","0","13","13","6","4"
"2016","Serbia","Austria","3","2","43","57","7","7","13","13","3","2","0","0","15","6","5","4"
"2016","Andorra","Switzerland","1","2","18","82","2","6","5","15","3","2","0","0","15","12","4","1"
"2016","Belarus","Luxembourg","1","1","68","32","9","1","22","3","5","2","0","1","20","15","0","8"
"2016","Bosnia and Herzegovina","Cyprus","2","0","62","38","11","2","26","3","2","2","0","0","18","12","2","9"
"2016","Estonia","Greece","0","2","52","48","6","3","16","11","2","1","0","0","15","3","1","6"
"2016","Faroe Islands","Portugal","0","6","32","68","0","11","3","23","1","2","0","0","17","14","5","0"
"2016","Gibraltar","Belgium","0","6","30","70","1","11","5","31","1","0","0","0","5","6","5","1"
"2016","Latvia","Hungary","0","2","36","64","4","5","9","13","4","1","0","0","22","5","3","4"
"2016","Netherlands","France","0","1","50","50","2","5","9","15","2","1","0","0","7","5","4","2"
"2016","Sweden","Bulgaria","3","0","55","45","8","0","20","4","1","1","0","0","14","9","0","5"
"2016","Kazakhstan","Romania","0","0","56","44","0","3","7","10","2","0","0","0","21","7","3","0"
"2016","Czech Republic","Azerbaijan","0","0","65","35","5","1","17","9","1","2","0","0","12","7","1","5"
"2016","Denmark","Montenegro","0","1","69","31","7","2","23","7","3","1","0","0","10","5","1","7"
"2016","Germany","Northern Ireland","2","0","75","25","5","2","25","4","0","1","0","0","3","3","2","3"
"2016","Lithuania","Malta","2","0","65","35","6","0","12","5","2","3","0","1","17","12","0","4"
"2016","Norway","San Marino","4","1","80","20","8","1","33","1","2","3","0","0","12","7","0","5"
"2016","Poland","Armenia","2","1","72","28","11","2","32","5","2","1","0","1","10","12","1","10"
"2016","Slovakia","Scotland","3","0","47","53","7","4","10","10","1","0","0","0","18","12","4","4"
"2016","Slovenia","England","0","0","33","67","3","3","13","12","3","4","0","0","15","11","3","3"
"2016","Armenia","Montenegro","3","2","61","39","7","10","13","19","2","2","0","0","17","17","8","4"
"2016","Czech Republic","Norway","2","1","38","62","4","2","12","17","1","1","0","0","17","14","1","2"
"2016","Denmark","Kazakhstan","4","1","54","46","7","2","20","4","2","2","0","0","9","7","1","4"
"2016","England","Scotland","3","0","68","32","3","2","9","12","2","1","0","0","12","19","2","0"
"2016","France","Sweden","2","1","69","31","7","1","20","6","0","2","0","0","7","10","0","5"
"2016","Malta","Slovenia","0","1","33","67","1","7","7","19","3","1","0","0","16","10","6","1"
"2016","Northern Ireland","Azerbaijan","4","0","39","61","7","1","10","8","2","2","0","0","11","7","1","3"
"2016","Romania","Poland","0","3","45","55","2","5","8","14","3","0","0","0","16","9","4","2"
"2016","San Marino","Germany","0","8","15","85","0","19","0","40","1","0","0","0","11","5","12","0"
"2016","Slovakia","Lithuania","4","0","55","45","7","1","16","4","0","1","0","0","8","13","1","4"
"2016","Austria","Republic of Ireland","0","1","65","35","6","2","17","8","2","2","0","0","19","16","1","6"
"2016","Croatia","Iceland","2","0","63","37","6","0","15","8","2","1","1","0","11","13","0","4"
"2016","Georgia","Moldova","1","1","62","38","2","3","7","8","3","3","0","0","24","20","2","1"
"2016","Turkey","Kosovo","2","0","70","30","8","1","13","7","1","2","0","0","9","7","1","6"
"2016","Albania","Israel","0","3","47","53","3","11","9","21","2","3","2","0","10","13","8","3"
"2016","Liechtenstein","Italy","0","4","36","64","0","16","6","27","3","0","0","0","6","3","12","0"
"2016","Spain","North Macedonia","4","0","79","21","7","2","19","8","0","1","0","0","8","11","2","4"
"2016","Ukraine","Finland","1","0","62","38","3","3","16","9","4","1","0","0","7","6","3","2"
"2016","Wales","Serbia","1","1","50","50","2","3","7","8","4","3","0","0","16","13","2","1"
"2016","Bulgaria","Belarus","1","0","38","62","5","2","9","16","3","2","0","1","15","15","2","5"
"2016","Cyprus","Gibraltar","3","1","67","33","6","3","16","7","2","0","0","1","16","15","2","3"
"2016","Hungary","Andorra","4","0","80","20","9","1","26","3","2","0","0","0","11","14","1","5"
"2016","Luxembourg","Netherlands","1","3","35","65","3","8","8","17","1","2","0","0","18","10","5","2"
"2016","Switzerland","Faroe Islands","2","0","66","34","9","3","28","5","1","3","0","0","12","15","3","7"
"2016","Belgium","Estonia","8","1","69","31","9","2","21","5","0","0","0","0","7","10","1","2"
